ensembl_id,gene_symbol,ncbi_id
ENSMSPG00010033666,AA672651,NCBI:101969
ENSG00000131467,PSME3,NCBI:10197
ENSG00000203601,LINC00970,NCBI:101978719
Unknown,PCAT14,NCBI:101978785
ENSG00000051825,MPHOSPH9,NCBI:10198
ENSMUSG00000031792,Usb1,NCBI:101985
ENSG00000124383,MPHOSPH10,NCBI:10199
ENSMUSG00000047710,Champ1,NCBI:101994
ENSG00000137845,ADAM10,NCBI:102
ENSG00000164885,CDK5,NCBI:1020
ENSG00000135698,MPHOSPH6,NCBI:10200
ENSG00000172113,NME6,NCBI:10201
ENSG00000100867,DHRS2,NCBI:10202
ENSMUSG00000055730,Ces2a,NCBI:102022
ENSG00000064989,CALCRL,NCBI:10203
ENSG00000277009,TEX28P3,NCBI:102030688
ENSG00000229327,EPC1-AS1,NCBI:102031319
ENSMUSG00000031534,Smim19,NCBI:102032
ENSG00000102898,NUTF2,NCBI:10204
ENSG00000149573,MPZL2,NCBI:10205
ENSMUSG00000074030,Exoc8,NCBI:102058
ENSG00000204977,TRIM13,NCBI:10206
ENSMUSG00000033751,Gadd45gip1,NCBI:102060
ENSG00000281358,RASSF1-AS1,NCBI:102060282
ENSG00000281756,C2-AS1,NCBI:102060414
ENSG00000132849,PATJ,NCBI:10207
ENSMUSG00000014782,Plekhg4,NCBI:102075
ENSG00000132952,USPL1,NCBI:10208
ENSG00000173812,EIF1,NCBI:10209
ENSMUSG00000036879,Phkb,NCBI:102093
Unknown,VUR7,NCBI:102095631
ENSMUSG00000004568,Arhgef18,NCBI:102098
ENSG00000105810,CDK6,NCBI:1021
ENSG00000197579,TOPORS,NCBI:10210
